Class,Count,Percentage
Dummy holes,304,25.48
Tower Bolt missing,214,17.94
Bushes or creepers,159,13.33
Grading Ring Reverse,143,11.99
ACD not present,142,11.9
Excess Soil or Â Coping damaged,65,5.45
CC ring broken,47,3.94
Cotter pin missing,21,1.76
Cottor Nut or Hardware assembly Â Loose,14,1.17
Tree in ROW,14,1.17
LT pole,10,0.84
Bird nest Present,9,0.75
CC ring or arcing horn nut Â or bolt missing,9,0.75
Grading ring missing,7,0.59
ROW encroachment,5,0.42
Tower Bolt Loose,5,0.42
Tower Member bent,5,0.42
Rusting of members,4,0.34
Stone and other,4,0.34
Foreign material on tower,3,0.25
Nut bolt loose,2,0.17
Grading ring fitted in wrong place,2,0.17
Arching Horn not in position,1,0.08
Grading ring broken,1,0.08
Earthing open,1,0.08
Arcing Horn missing,1,0.08
Cotterpin present,1,0.08
