epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,155.918,2.80549,64.8828,0.01666,0.00258,0.01778,0.00039,0.00027,2.08158,57.8664,0.01564,0.00012227,0.00012227,0.00012227
2,283.505,2.63449,23.8207,0.01279,0.52682,0.03136,0.0137,0.00542,1.94121,22.4239,0.0138,0.000244793,0.000244793,0.000244793
3,411.549,2.50981,12.1196,0.01368,0.0195,0.11846,0.01399,0.00831,1.96267,12.8666,0.01537,0.000366502,0.000366502,0.000366502
4,539.417,2.69887,8.087,0.01538,0.20792,0.02,0.02196,0.00744,2.00712,8.66121,0.01453,0.000366337,0.000366337,0.000366337
5,666.947,2.54041,6.55319,0.0144,0.43757,0.03111,0.03899,0.01575,1.91695,6.96512,0.01287,0.000365116,0.000365116,0.000365116
6,795.328,2.63979,5.70475,0.01466,0.24746,0.07308,0.04762,0.02662,1.85714,5.85777,0.01299,0.000363895,0.000363895,0.000363895
7,923.277,2.6171,5.19902,0.01469,0.55613,0.05157,0.048,0.02318,1.8092,5.31406,0.01241,0.000362674,0.000362674,0.000362674
8,1051.36,2.5275,4.83835,0.0139,0.33502,0.0531,0.03206,0.00695,1.87687,4.72118,0.01274,0.000361453,0.000361453,0.000361453
9,1178.9,2.42679,4.5492,0.01367,0.23891,0.06356,0.0307,0.01228,1.75635,3.99586,0.01178,0.000360232,0.000360232,0.000360232
10,1306.68,2.46964,4.54085,0.0133,0.35592,0.10605,0.07905,0.0234,1.84229,3.98541,0.01207,0.000359011,0.000359011,0.000359011
11,1433.78,2.38834,4.06768,0.01231,0.14666,0.10517,0.04009,0.01429,1.77849,4.61428,0.01172,0.00035779,0.00035779,0.00035779
12,1560.42,2.42911,4.05566,0.01332,0.3518,0.09134,0.04922,0.01506,1.83022,3.61282,0.01207,0.000356569,0.000356569,0.000356569
13,1688.08,2.31601,3.8077,0.01182,0.44202,0.0951,0.05769,0.02612,1.71494,3.3134,0.01097,0.000355348,0.000355348,0.000355348
14,1815.16,2.37334,3.8205,0.01207,0.27504,0.08088,0.09159,0.03705,1.75366,3.36372,0.01079,0.000354127,0.000354127,0.000354127
15,1942.79,2.29994,3.46606,0.01011,0.27498,0.16549,0.08512,0.03465,1.62831,3.28726,0.00997,0.000352906,0.000352906,0.000352906
16,2069.74,2.30918,3.55818,0.01142,0.40195,0.06781,0.08457,0.02475,1.74708,3.57989,0.01132,0.000351685,0.000351685,0.000351685
17,2197.2,2.36202,3.65063,0.01222,0.42305,0.07515,0.08838,0.03099,1.70423,3.14163,0.01079,0.000350464,0.000350464,0.000350464
18,2324.41,2.34586,3.44402,0.01221,0.6455,0.0637,0.11042,0.05511,1.74159,2.96141,0.01167,0.000349243,0.000349243,0.000349243
19,2452.4,2.26519,3.49855,0.01277,0.22179,0.17408,0.13993,0.0576,1.68216,3.24549,0.01164,0.000348022,0.000348022,0.000348022
20,2580.38,2.34973,3.49986,0.01165,0.27656,0.14363,0.10938,0.05223,1.63383,2.90494,0.01047,0.000346801,0.000346801,0.000346801
21,2707.29,2.35238,3.2332,0.01184,0.52125,0.15188,0.1744,0.08015,1.67205,2.76156,0.01033,0.00034558,0.00034558,0.00034558
22,2834.98,2.2354,3.21397,0.00995,0.37764,0.23578,0.23044,0.10214,1.69691,2.6508,0.01025,0.000344359,0.000344359,0.000344359
23,2962.01,2.24423,3.2409,0.0115,0.52507,0.20395,0.22834,0.10397,1.61455,2.96973,0.00948,0.000343138,0.000343138,0.000343138
24,3089.18,2.15846,3.18175,0.01179,0.4667,0.15147,0.23238,0.09662,1.63282,2.37861,0.00996,0.000341917,0.000341917,0.000341917
25,3215.39,2.27489,3.26191,0.01105,0.54929,0.21373,0.23296,0.12654,1.6136,2.60726,0.00938,0.000340696,0.000340696,0.000340696
26,3341.48,2.24447,3.15598,0.01087,0.25051,0.24696,0.19869,0.10681,1.55685,2.51878,0.00992,0.000339475,0.000339475,0.000339475
27,3467.96,2.19617,3.23192,0.01118,0.31877,0.26278,0.20112,0.10387,1.55137,2.54812,0.0098,0.000338254,0.000338254,0.000338254
28,3595.1,2.22942,3.19545,0.01145,0.30867,0.22219,0.23753,0.11503,1.57883,2.37224,0.01032,0.000337033,0.000337033,0.000337033
29,3721.7,2.21286,3.27412,0.01108,0.46683,0.26174,0.27263,0.12724,1.61055,2.54185,0.01026,0.000335812,0.000335812,0.000335812
30,3848.36,2.23652,2.99422,0.00995,0.47453,0.31301,0.25062,0.12649,1.45463,2.78969,0.0083,0.000334591,0.000334591,0.000334591
