epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,128.994,2.76917,71.408,0.01522,0.0008,0.05111,0.00065,0.00032,1.94917,77.1751,0.0134,0.000121916,0.000121916,0.000121916
2,231.843,2.58536,27.4276,0.01347,0.74199,0.01176,0.01419,0.00378,1.89836,30.1803,0.01214,0.00024444,0.00024444,0.00024444
3,335.257,2.49693,14.6459,0.01444,0.43215,0.03415,0.01324,0.00508,1.82333,14.7231,0.01246,0.00036615,0.00036615,0.00036615
4,438.767,2.62455,9.93742,0.01234,0.30994,0.02059,0.01315,0.00311,1.86514,9.49994,0.01217,0.000366337,0.000366337,0.000366337
5,541.565,2.58395,6.64569,0.01405,0.00836,0.19216,0.01853,0.0066,1.84695,6.98171,0.01249,0.000365116,0.000365116,0.000365116
6,644.883,2.58509,5.78144,0.01395,0.00969,0.28248,0.0291,0.01079,1.80055,10.4641,0.0118,0.000363895,0.000363895,0.000363895
7,748.042,2.54545,5.04325,0.01357,0.32217,0.06526,0.03103,0.01253,1.71588,5.29997,0.01116,0.000362674,0.000362674,0.000362674
8,851.312,2.50988,4.80034,0.01236,0.17099,0.11549,0.05196,0.02027,1.77546,5.45575,0.0107,0.000361453,0.000361453,0.000361453
9,954.152,2.50898,4.58499,0.01414,0.17656,0.07958,0.06851,0.02192,1.58772,6.04332,0.01042,0.000360232,0.000360232,0.000360232
10,1057.24,2.42937,4.13197,0.0113,0.2763,0.11998,0.07212,0.02837,1.64903,3.826,0.01128,0.000359011,0.000359011,0.000359011
11,1160.37,2.32777,4.27946,0.01253,0.04255,0.08725,0.05587,0.01695,1.55807,5.0644,0.00948,0.00035779,0.00035779,0.00035779
12,1263.2,2.32419,4.02209,0.01267,0.13979,0.09869,0.05616,0.01961,1.72665,3.48873,0.01104,0.000356569,0.000356569,0.000356569
13,1366.19,2.43902,3.99541,0.01194,0.26557,0.08539,0.06445,0.02727,1.62031,3.56155,0.01066,0.000355348,0.000355348,0.000355348
14,1469.19,2.40717,4.00603,0.01311,0.19735,0.11029,0.07479,0.03139,1.46475,3.36817,0.00848,0.000354127,0.000354127,0.000354127
15,1572.62,2.30132,3.73781,0.01136,0.281,0.14621,0.09909,0.03349,1.55656,2.99797,0.00927,0.000352906,0.000352906,0.000352906
