epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,105.247,2.99661,130.654,0.01782,0.10121,0.01333,0.00086,0.00021,2.46079,191.626,0.01861,0.000120709,0.000120709,0.000120709
2,160.153,2.65681,66.6826,0.01361,0.00025,0.10111,0.0004,0.00013,2.21001,94.1921,0.01656,0.000243237,0.000243237,0.000243237
3,224.01,2.68897,32.1074,0.01459,0.00126,0.12667,0.00344,0.00249,2.27171,47.8463,0.01686,0.000364951,0.000364951,0.000364951
4,285.504,2.68976,17.0283,0.01491,0.00511,0.06444,0.00279,0.00158,2.2995,26.7724,0.01715,0.000366337,0.000366337,0.000366337
5,349.399,2.50223,9.7563,0.0144,0.63414,0.03285,0.01495,0.00549,2.50984,17.9607,0.01795,0.000365116,0.000365116,0.000365116
6,412.824,2.58856,7.91243,0.01263,0.34357,0.07314,0.01819,0.00711,2.26159,12.7025,0.01484,0.000363895,0.000363895,0.000363895
7,475.207,2.43036,6.72007,0.01252,0.00638,0.27928,0.01867,0.00719,2.28668,11.0028,0.01558,0.000362674,0.000362674,0.000362674
8,539.376,2.43231,5.66868,0.01321,0.17549,0.0783,0.02709,0.01094,2.09953,11.7518,0.01491,0.000361453,0.000361453,0.000361453
9,602.306,2.45072,5.92173,0.01073,0.16391,0.03761,0.02693,0.00995,2.06536,8.65164,0.01512,0.000360232,0.000360232,0.000360232
10,665.7,2.47676,4.94273,0.01184,0.25726,0.10778,0.02678,0.01005,2.06108,6.91847,0.0131,0.000359011,0.000359011,0.000359011
11,729.005,2.47021,4.79361,0.0125,0.23022,0.06915,0.02868,0.00959,2.05827,6.81894,0.01392,0.00035779,0.00035779,0.00035779
12,791.787,2.3635,4.4394,0.01103,0.02068,0.24216,0.02997,0.01061,2.06669,7.04851,0.01362,0.000356569,0.000356569,0.000356569
13,855.508,2.39151,4.37194,0.01169,0.41679,0.06046,0.04437,0.01741,1.96576,5.78433,0.01292,0.000355348,0.000355348,0.000355348
14,916.876,2.33319,4.4333,0.01,0.37283,0.09607,0.06293,0.02838,2.11375,5.11068,0.01459,0.000354127,0.000354127,0.000354127
15,982.06,2.31814,4.2459,0.01103,0.22468,0.07974,0.04129,0.01395,2.13175,6.16698,0.01374,0.000352906,0.000352906,0.000352906
16,1044.26,2.32353,3.9807,0.01051,0.28308,0.05872,0.04968,0.01769,2.11729,5.16263,0.01425,0.000351685,0.000351685,0.000351685
17,1108.26,2.31467,3.9127,0.01015,0.14784,0.09663,0.04955,0.02207,1.94458,4.73339,0.01104,0.000350464,0.000350464,0.000350464
18,1169.79,2.26716,3.68736,0.00904,0.15169,0.08225,0.0536,0.02243,1.97198,4.75737,0.01258,0.000349243,0.000349243,0.000349243
19,1233.29,2.17593,3.59525,0.00997,0.25597,0.09313,0.06093,0.02652,2.00995,4.94491,0.0124,0.000348022,0.000348022,0.000348022
20,1295.23,2.19796,3.54441,0.01122,0.08004,0.13582,0.06496,0.02803,2.07982,4.9824,0.01424,0.000346801,0.000346801,0.000346801
21,1357.53,2.311,3.58296,0.00994,0.25162,0.11673,0.04727,0.02071,2.12687,4.63345,0.01508,0.00034558,0.00034558,0.00034558
22,1420.68,2.16162,3.55162,0.00997,0.31211,0.14939,0.08883,0.03427,1.97859,4.41662,0.0127,0.000344359,0.000344359,0.000344359
23,1483.92,2.22307,3.46753,0.00839,0.09798,0.13155,0.08575,0.03772,1.95336,4.13878,0.01332,0.000343138,0.000343138,0.000343138
24,1545.59,2.2662,3.34001,0.01185,0.16156,0.17373,0.09553,0.05196,1.97049,4.0964,0.01289,0.000341917,0.000341917,0.000341917
25,1608.58,2.16391,3.30142,0.00976,0.1101,0.14787,0.07333,0.0322,1.89887,4.41748,0.01228,0.000340696,0.000340696,0.000340696
26,1671.5,2.19072,3.3539,0.01086,0.1461,0.13268,0.06278,0.02317,2.00891,4.02885,0.01335,0.000339475,0.000339475,0.000339475
27,1733.04,2.19242,3.18102,0.01047,0.42733,0.09021,0.10566,0.05415,1.94719,3.93077,0.0127,0.000338254,0.000338254,0.000338254
28,1796.19,2.23865,3.297,0.01007,0.13337,0.1796,0.12969,0.06217,1.91397,3.82531,0.01227,0.000337033,0.000337033,0.000337033
29,1859.18,2.12266,3.1009,0.0093,0.27913,0.159,0.14704,0.06215,1.98181,4.24306,0.01263,0.000335812,0.000335812,0.000335812
30,1922.31,2.14074,2.86051,0.00925,0.23325,0.19696,0.12853,0.05152,1.97767,3.7994,0.01161,0.000334591,0.000334591,0.000334591
31,1985.55,2.13718,2.96407,0.01148,0.18662,0.15219,0.08304,0.03683,1.98125,3.95781,0.01265,0.00033337,0.00033337,0.00033337
32,2051.32,2.15674,3.06864,0.00944,0.39424,0.14579,0.10239,0.03561,2.04704,3.58387,0.01319,0.000332149,0.000332149,0.000332149
33,2114.57,2.1729,2.96177,0.00944,0.29769,0.13062,0.11227,0.03469,1.91245,3.761,0.01181,0.000330928,0.000330928,0.000330928
34,2179.18,2.08207,2.7796,0.00854,0.27188,0.20445,0.1523,0.04954,1.94641,3.50978,0.01192,0.000329707,0.000329707,0.000329707
35,2241.87,2.12449,2.76765,0.0092,0.21061,0.19395,0.12053,0.04582,2.05276,3.60134,0.01323,0.000328486,0.000328486,0.000328486
